industry_code	naics_code	industry_text	display_level	selectable	sort_sequence
N3252__	3252	Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing	3	T	90	
N3253__	3253	Pesticide, fertilizer, and other agricultural chemical manufacturing	3	T	91	
N32541_	32541	Pharmaceutical and medicine manufacturing	4	T	93	
N3254__	3254	Pharmaceutical and medicine manufacturing	3	T	92	
N3255__	3255	Paint, coating, and adhesive manufacturing	3	T	94	
N3256__	3256	Soap, cleaning compound, and toilet preparation manufacturing	3	T	95	
N3259__	3259	Other chemical product and preparation manufacturing	3	T	96	
N325___	325	Chemical manufacturing	2	T	88	
N32611_	32611	Plastics packaging materials and unlaminated film and sheet manufacturing	4	T	99	
N32612_	32612	Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing	4	T	100	
N32619_	32619	Other plastics product manufacturing	4	T	101	
N3261__	3261	Plastics product manufacturing	3	T	98	
N3262__	3262	Rubber product manufacturing	3	T	102	
N326___	326	Plastics and rubber products manufacturing	2	T	97	
N3271__	3271	Clay product and refractory manufacturing	3	T	104	
N32721_	32721	Glass and glass product manufacturing	4	T	106	
N3272__	3272	Glass and glass product manufacturing	3	T	105	
N327320	327320	Ready-mix concrete manufacturing	5	T	109	
N32732_	32732	Ready-mix concrete manufacturing	4	T	108	
N3273__	3273	Cement and concrete product manufacturing	3	T	107	
N3274__	3274	Lime and gypsum product manufacturing	3	T	110	
N3279__	3279	Other nonmetallic mineral product manufacturing	3	T	111	
N327___	327	Nonmetallic mineral product manufacturing	2	T	103	
N33111_	33111	Iron and steel mills and ferroalloy manufacturing	4	T	114	
N3311__	3311	Iron and steel mills and ferroalloy manufacturing	3	T	113	
N3312__	3312	Steel product manufacturing from purchased steel	3	T	115	
N33131_	33131	Alumina and aluminum production and processing	4	T	117	
N3313__	3313	Alumina and aluminum production and processing	3	T	116	
N3314__	3314	Nonferrous metal (except aluminum) production and processing	3	T	118	
N3315__	3315	Foundries	3	T	119	
N331___	331	Primary metal manufacturing	2	T	112	
N33211_	33211	Forging and stamping	4	T	122	
N3321__	3321	Forging and stamping	3	T	121	
